Field ID	Description	Category	datatype
23000	1gG antigen for Herpes Simplex virus-1	Infectious Disease Antigens	Integer
23001	2mgG unique antigen for Herpes Simplex virus-2	Infectious Disease Antigens	Integer
5111	3mm asymmetry angle (left)	Autorefraction	Integer
5108	3mm asymmetry angle (right)	Autorefraction	Integer
5112	3mm cylindrical power angle (left)	Autorefraction	Integer
5115	3mm cylindrical power angle (right)	Autorefraction	Integer
5292	3mm index of best keratometry results (left)	Autorefraction	Integer
5237	3mm index of best keratometry results (right)	Autorefraction	Integer
5104	3mm strong meridian angle (left)	Autorefraction	Integer
5107	3mm strong meridian angle (right)	Autorefraction	Integer
5103	3mm weak meridian angle (left)	Autorefraction	Integer
5100	3mm weak meridian angle (right)	Autorefraction	Integer
5110	6mm asymmetry angle (left)	Autorefraction	Integer
5109	6mm asymmetry angle (right)	Autorefraction	Integer
5113	6mm cylindrical power angle (left)	Autorefraction	Integer
5114	6mm cylindrical power angle (right)	Autorefraction	Integer
5306	6mm index of best keratometry results (left)	Autorefraction	Integer
5251	6mm index of best keratometry results (right)	Autorefraction	Integer
5105	6mm strong meridian angle (left)	Autorefraction	Integer
5106	6mm strong meridian angle (right)	Autorefraction	Integer
5102	6mm weak meridian angle (left)	Autorefraction	Integer
5101	6mm weak meridian angle (right)	Autorefraction	Integer
22150	Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor	Medical information	Integer
22152	Age alpha-1 antitrypsin deficiency diagnosed by doctor	Medical information	Integer
3627	Age angina diagnosed	Medical conditions	Integer
22159	Age asbestosis diagnosed by doctor	Medical information	Integer
3786	Age asthma diagnosed	Medical conditions	Integer
22147	Age asthma diagnosed by doctor	Medical information	Integer
3882	Age at bilateral oophorectomy (both ovaries removed)	Female-specific factors	Integer
20433	Age at first episode of depression	Depression	Integer
2754	Age at first live birth	Female-specific factors	Integer
2824	Age at hysterectomy	Female-specific factors	Integer
20434	Age at last episode of depression	Depression	Integer
2764	Age at last live birth	Female-specific factors	Integer
3581	Age at menopause (last menstrual period)	Female-specific factors	Integer
21022	Age at recruitment	Baseline characteristics	Integer
22154	Age bronchiectasis diagnosed by doctor	Medical information	Integer
4700	Age cataract diagnosed	Eyesight	Integer
22149	Age chronic bronchitis diagnosed by doctor	Medical information	Integer
845	Age completed full time education	Education	Integer
22151	Age cystic fibrosis diagnosed by doctor	Medical information	Integer
4012	Age deep-vein thrombosis (DVT, blood clot in leg) diagnosed	Medical conditions	Integer
2976	Age diabetes diagnosed	Medical conditions	Integer
22148	Age emphysema diagnosed by doctor	Medical information	Integer
3992	Age emphysema/chronic bronchitis diagnosed	Medical conditions	Integer
22156	Age fibrosing alveolitis/unspecified alveolitis diagnosed by doctor	Medical information	Integer
2139	Age first had sexual intercourse	Sexual factors	Integer
4689	Age glaucoma diagnosed	Eyesight	Integer
3761	Age hay fever, rhinitis or eczema diagnosed	Medical conditions	Integer
22146	Age hayfever or allergic rhinitis diagnosed by doctor	Medical information	Integer
3894	Age heart attack diagnosed	Medical conditions	Integer
2966	Age high blood pressure diagnosed	Medical conditions	Integer
22155	Age idiopathic pulmonary fibrosis diagnosed by doctor	Medical information	Integer
3546	Age last used hormone-replacement therapy (HRT)	Female-specific factors	Integer
22160	Age lung cancer (not mesothelioma) diagnosed by doctor	Medical information	Integer
5923	Age macular degeneration diagnosed	Eyesight	Integer
22161	Age mesothelioma of the lung diagnosed by doctor	Medical information	Integer
3872	Age of primiparous women at birth of child	Female-specific factors	Integer
22507	Age of stopping smoking	Medical information	Integer
5945	Age other serious eye condition diagnosed	Eyesight	Integer
4022	Age pulmonary embolism (blood clot in lung) diagnosed	Medical conditions	Integer
22153	Age sarcoidosis diagnosed by doctor	Medical information	Integer
22158	Age silicosis diagnosed by doctor	Medical information	Integer
3536	Age started hormone-replacement therapy (HRT)	Female-specific factors	Integer
2794	Age started oral contraceptive pill	Female-specific factors	Integer
3436	Age started smoking in current smokers	Smoking	Integer
2867	Age started smoking in former smokers	Smoking	Integer
2217	Age started wearing glasses or contact lenses	Eyesight	Integer
2897	Age stopped smoking	Smoking	Integer
6194	Age stopped smoking cigarettes (current cigar/pipe or previous cigarette smoker)	Smoking	Integer
4056	Age stroke diagnosed	Medical conditions	Integer
22157	Age tuberculosis diagnosed by doctor	Medical information	Integer
21003	Age when attended assessment centre	Reception	Integer
5901	Age when diabetes-related eye disease diagnosed	Eyesight	Integer
20461	Age when first had unusual or psychotic experience	Unusual and psychotic experiences	Integer
20410	Age when known person last commented about drinking habits	Alcohol use	Integer
3680	Age when last ate meat	Diet	Integer
20455	Age when last took cannabis	Cannabis use	Integer
2804	Age when last used oral contraceptive pill	Female-specific factors	Integer
5430	Age when loss of vision due to injury or trauma diagnosed	Eyesight	Integer
2714	Age when periods started (menarche)	Female-specific factors	Integer
22508	Amount of tobacco currently smoked	Medical information	Integer
23244	Android bone mass	Body composition by DXA	Integer
23245	Android fat mass	Body composition by DXA	Integer
23246	Android lean mass	Body composition by DXA	Integer
23249	Arm fat mass (left)	Body composition by DXA	Integer
23253	Arm fat mass (right)	Body composition by DXA	Integer
23250	Arm lean mass (left)	Body composition by DXA	Integer
23254	Arm lean mass (right)	Body composition by DXA	Integer
23257	Arms fat mass	Body composition by DXA	Integer
23258	Arms lean mass	Body composition by DXA	Integer
5089	Astigmatism angle (left)	Autorefraction	Integer
5088	Astigmatism angle (right)	Autorefraction	Integer
22426	Average heart rate	Left ventricular size and function	Integer
4429	Average monthly beer plus cider intake	Alcohol	Integer
4418	Average monthly champagne plus white wine intake	Alcohol	Integer
4451	Average monthly fortified wine intake	Alcohol	Integer
4462	Average monthly intake of other alcoholic drinks	Alcohol	Integer
4407	Average monthly red wine intake	Alcohol	Integer
4440	Average monthly spirits intake	Alcohol	Integer
21044	Average number of times bowels opened per day	Digestive health	Integer
1588	Average weekly beer plus cider intake	Alcohol	Integer
1578	Average weekly champagne plus white wine intake	Alcohol	Integer
1608	Average weekly fortified wine intake	Alcohol	Integer
5364	Average weekly intake of other alcoholic drinks	Alcohol	Integer
1568	Average weekly red wine intake	Alcohol	Integer
1598	Average weekly spirits intake	Alcohol	Integer
23026	BK VP1 antigen for Human Polyomavirus BKV	Infectious Disease Antigens	Integer
41284	Baby birth weight	Summary Maternity	Integer
21634	Biometrics duration	Process durations	Integer
2744	Birth weight of first child	Female-specific factors	Integer
21662	Brain MRI duration	Process durations	Integer
1438	Bread intake	Diet	Integer
23039	CagA antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
90171	Calibration - number of static points	Accelerometer calibration	Integer
84	Cancer year/age first occurred	Medical conditions	Integer
21671	Cardiac monitor duration	Process durations	Integer
21665	Carotid ultrasound duration	Process durations	Integer
20121	Cascot confidence score	Employment	Integer
23043	Catalase antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
12678	Central pulse pressure during PWA	Pulse wave analysis	Integer
12677	Central systolic blood pressure during PWA	Pulse wave analysis	Integer
1458	Cereal intake	Diet	Integer
21663	Chest MRI duration	Process durations	Integer
1737	Childhood sunburn occasions	Sun exposure	Integer
1498	Coffee intake	Diet	Integer
21651	Conclusion duration	Process durations	Integer
22644	Consecutive night shifts during mixed shift periods	Employment history	Integer
22654	Consecutive night shifts during night shift periods	Employment history	Integer
21621	Consent duration	Process durations	Integer
1289	Cooked vegetable intake	Diet	Integer
23018	Core antigen for Hepatitis C Virus	Infectious Disease Antigens	Integer
21664	DXA assessment duration	Process durations	Integer
90182	Data recording errors	Raw accelerometer statistics	Integer
20083	Delay between questionnaire request and completion	Diet questionnaire performance	Integer
90179	Device ID	Raw accelerometer statistics	Integer
4079	Diastolic blood pressure, automated reading	Blood pressure	Integer
94	Diastolic blood pressure, manual reading	Blood pressure	Integer
12698	Diastolic brachial blood pressure	Pulse wave analysis	Integer
12675	Diastolic brachial blood pressure during PWA	Pulse wave analysis	Integer
796	Distance between home and job workplace	Employment	Integer
1319	Dried fruit intake	Diet	Integer
41275	Duration of antenatal stay	Summary Maternity	Integer
12651	Duration of eprime test	Task functional brain MRI	Integer
6039	Duration of fitness test	ECG during exercise	Integer
894	Duration of moderate activity	Physical activity	Integer
41285	Duration of postnatal stay	Summary Maternity	Integer
20082	Duration of questionnaire	Diet questionnaire performance	Integer
6317	Duration of selection in each round	Picture vocabulary	Integer
914	Duration of vigorous activity	Physical activity	Integer
874	Duration of walks	Physical activity	Integer
4290	Duration screen displayed	Prospective memory	Integer
6333	Duration spent answering each puzzle	Matrix pattern completion	Integer
6350	Duration to complete alphanumeric path (trail #2)	Trail making	Integer
6348	Duration to complete numeric path (trail #1)	Trail making	Integer
6313	Duration to entering selection	Tower rearranging	Integer
20230	Duration to entering value	Symbol digit substitution	Integer
404	Duration to first press of snap-button in each round	Reaction time	Integer
10147	Duration to first press of snap-button in each round (pilot)	Reaction time	Integer
23030	E6 antigen for Human Papillomavirus type-16	Infectious Disease Antigens	Integer
23031	E7 antigen for Human Papillomavirus type-16	Infectious Disease Antigens	Integer
23006	EA-D antigen for Epstein-Barr Virus	Infectious Disease Antigens	Integer
23004	EBNA-1 antigen for Epstein-Barr Virus	Infectious Disease Antigens	Integer
21666	ECG at rest duration	Process durations	Integer
21638	ECG during exercise duration	Process durations	Integer
5983	ECG, heart rate	ECG during exercise	Integer
5984	ECG, load	ECG during exercise	Integer
5993	ECG, number of stages in a phase	ECG during exercise	Integer
5992	ECG, phase duration	ECG during exercise	Integer
5986	ECG, phase time	ECG during exercise	Integer
5990	ECG, stage duration	ECG during exercise	Integer
6771	Errors before selecting correct item in alphanumeric path (trail #2)	Trail making	Integer
20148	Errors before selecting correct item in alphanumeric path (trail #2)	Trail making	Integer
6770	Errors before selecting correct item in numeric path (trail #1)	Trail making	Integer
20147	Errors before selecting correct item in numeric path (trail #1)	Trail making	Integer
1269	Exposure to tobacco smoke at home	Smoking	Integer
1279	Exposure to tobacco smoke outside home	Smoking	Integer
21636	Eye measures duration	Process durations	Integer
74	Fasting time	Blood sample collection	Integer
2946	Father's age	Family history	Integer
1807	Father's age at death	Family history	Integer
20016	Fluid intelligence score	Fluid intelligence / reasoning	Integer
20191	Fluid intelligence score	Fluid intelligence / reasoning	Integer
2277	Frequency of solarium/sunlamp use	Sun exposure	Integer
777	Frequency of travelling from home to job workplace	Employment	Integer
1309	Fresh fruit intake	Diet	Integer
22011	Genetic relatedness pairing	Interim genotype release	Integer
41269	Gestation period at first antenatal assessment	Summary Maternity	Integer
21042	Greatest number of times bowels opened per day	Digestive health	Integer
23042	GroEL antigen for Helicobacter pylori	Infectious Disease Antigens	Integer
23261	Gynoid bone mass	Body composition by DXA	Integer
23262	Gynoid fat mass	Body composition by DXA	Integer
23263	Gynoid lean mass	Body composition by DXA	Integer
